ano;mês;dia ;hora;velo;dire;prec;Rajada;;;;;;;;;
2007;1;12;10;3,7;327;0;8,5;;;;;;;;;
2007;1;12;11;3;357;0;8,9;;;;;;;;;
2007;1;12;12;4,3;343;0;8,7;;;;;;;;;
2007;1;12;13;3,9;355;0;8,2;;;;;;;;;
2007;1;12;14;3,7;42;0;8,7;;;;;;;;;
2007;1;12;15;4,1;52;0;10,3;;;;;;;;;
2007;1;12;16;5,2;30;0;10,5;;;;;;;;;
2007;1;12;17;5,6;33;0;10,5;;;;;;;;;
2007;1;12;18;3,5;31;0;9,4;;;;;;;;;
2007;1;12;19;4,4;26;0;7,5;;;;;;;;;
2007;1;12;20;3,7;27;0;9;;;;;;;;;
2007;1;12;21;2,8;15;0;8,1;;;;;;;;;
2007;1;12;22;2,8;13;0;6,6;;;;;;;;;
2007;1;12;23;2,8;26;0;5,5;;;;;;;;;
2007;1;13;0;1,8;34;0;6,3;;;;;;;;;
2007;1;13;1;2,5;9;0;6,5;;;;;;;;;
2007;1;13;2;2,3;3;0;5,9;;;;;;;;;
2007;1;13;3;2,9;333;0;6,5;;;;;;;;;
2007;1;13;4;2,6;339;0;6,5;;;;;;;;;
2007;1;13;5;2,7;349;0;7,9;;;;;;;;;
2007;1;13;6;2,5;336;0;5,9;;;;;;;;;
2007;1;13;7;2,2;310;0;8;;;;;;;;;
2007;1;13;8;2,6;331;0;6,4;;;;;;;;;
2007;1;13;9;2,8;337;0;7,6;;;;;;;;;
2007;1;13;10;2;10;0;5,5;;;;;;;;;
2007;1;13;11;2,3;19;0;5,8;;;;;;;;;
2007;1;13;12;1,8;11;0;5,1;;;;;;;;;
2007;1;13;13;1,6;300;0;4,3;;;;;;;;;
2007;1;13;14;1,7;30;0;3,7;;;;;;;;;
2007;1;13;15;2,5;38;0;6,1;;;;;;;;;
2007;1;13;16;3;16;0;6,4;;;;;;;;;
2007;1;13;17;1,9;49;0;6,4;;;;;;;;;
2007;1;13;18;0,7;122;0;6,2;;;;;;;;;
2007;1;13;19;0,6;186;0;2;;;;;;;;;
2007;1;13;20;1,3;170;0;5,4;;;;;;;;;
2007;1;13;21;2,3;130;0;4,7;;;;;;;;;
2007;1;13;22;2,7;151;3,8;6;;;;;;;;;
2007;1;13;23;1,8;180;13,6;5,2;;;;;;;;;
2007;1;14;0;0,7;94;0,6;3,6;;;;;;;;;
